Industry_Code,Ref_Count,Possible_Name,Prefix
110101,13,,1
110102,13,,1
110103,9,,1
110104,5,,1
110201,4,,1
110202,14,,1
110301,7,,1
110401,23,,1
110402,10,,1
110403,4,,1
110404,4,,1
110501,11,,1
110502,17,,1
110503,4,,1
110504,22,,1
110601,25,,1
110701,23,,1
110702,12,,1
110703,8,,1
110704,4,,1
110801,19,,1
110901,3,,1
210101,8,,2
210201,38,,2
210202,14,,2
210301,17,,2
210401,16,,2
210402,2,,2
220101,34,,2
220103,13,,2
220201,11,,2
220202,33,,2
220203,21,,2
220204,29,,2
220205,9,,2
220206,6,,2
220301,25,,2
220302,7,,2
220303,39,,2
220304,27,,2
220305,33,,2
220306,8,,2
220307,18,,2
220308,18,,2
220309,195,,2
220310,8,,2
220311,11,,2
220312,5,,2
220313,21,,2
220314,8,,2
220315,25,,2
220316,12,,2
220317,5,,2
220401,33,,2
220402,3,,2
220403,12,,2
220404,20,,2
220405,4,,2
220406,5,,2
220501,71,,2
220502,5,,2
220503,23,,2
220504,15,,2
220505,21,,2
220601,15,,2
220602,20,,2
220603,8,,2
220604,2,,2
220701,35,,2
220702,12,,2
220703,4,,2
220801,8,,2
220802,9,,2
220803,34,,2
220804,5,,2
220805,10,,2
220901,15,,2
230101,40,,2
230102,23,,2
230201,13,,2
230301,6,,2
230302,3,,2
230401,3,,2
230402,18,,2
230403,3,,2
230501,14,,2
240101,44,,2
240102,18,,2
240103,13,,2
240104,13,,2
240105,10,,2
240106,26,,2
240201,51,,2
240202,25,,2
240203,19,,2
240301,39,,2
240302,31,,2
240303,19,,2
240401,20,,2
240402,2,,2
240501,5,,2
240502,4,,2
240503,4,,2
240504,32,,2
240505,3,,2
240601,4,,2
240602,1,,2
240603,11,,2
250101,14,,2
250102,31,,2
250103,9,,2
250104,37,,2
250105,6,,2
250106,8,,2
250201,64,,2
250202,17,,2
250203,5,,2
250204,25,,2
250205,17,,2
260101,13,,2
260102,41,,2
260103,14,,2
260104,14,,2
260105,13,,2
260106,34,,2
260201,9,,2
260202,23,,2
260203,3,,2
260204,14,,2
260205,28,,2
260206,6,,2
260207,37,,2
260208,8,,2
260209,3,,2
260301,24,,2
260401,12,,2
260402,45,,2
260403,35,,2
260404,61,,2
260405,16,,2
260501,24,,2
270101,64,,2
270102,30,,2
270103,34,,2
270104,53,,2
270105,35,,2
270106,7,,2
270107,14,,2
270108,24,,2
270201,39,,2
270202,47,,2
270203,34,,2
270301,67,,2
270302,48,,2
270303,32,,2
270401,102,,2
270501,22,,2
270502,69,,2
270503,11,,2
270504,108,,2
270601,40,,2
280101,14,,2
280102,6,,2
280103,6,,2
280201,181,,2
280202,44,,2
280203,111,,2
280204,23,,2
280205,57,,2
280206,39,,2
280301,15,,2
280302,12,,2
280303,7,,2
280401,17,,2
280402,10,,2
280501,3,,2
280502,8,,2
280601,9,,2
280602,7,,2
310101,13,,3
310102,10,,3
310103,9,,3
310104,3,,3
310201,74,,3
310301,14,,3
310302,3,,3
310303,11,,3
310304,22,,3
310305,8,,3
310306,7,,3
310307,3,,3
310401,7,,3
310402,2,,3
320101,22,,3
320102,25,,3
320103,34,,3
320104,18,,3
320201,59,,3
330101,14,,3
330102,12,,3
330103,4,,3
330104,35,,3
330105,31,,3
330106,7,,3
330201,13,,3
330202,16,,3
330301,14,,3
330302,8,,3
330303,4,,3
330401,6,,3
330402,3,,3
330501,14,,3
330601,37,,3
330701,3,,3
340101,4,,3
340102,4,,3
340103,9,,3
340201,13,,3
340202,5,,3
340301,21,,3
340302,9,,3
340303,8,,3
340304,18,,3
340305,6,,3
340306,3,,3
340401,8,,3
340402,13,,3
340403,14,,3
340404,46,,3
340406,11,,3
340407,10,,3
340501,20,,3
340601,7,,3
340602,10,,3
340701,8,,3
340702,21,,3
340801,11,,3
340802,10,,3
340803,3,,3
340901,16,,3
350101,13,,3
350102,29,,3
350103,4,,3
350104,11,,3
350105,7,,3
350106,34,,3
350107,1,,3
350201,47,,3
350202,15,,3
350203,11,,3
350204,9,,3
350205,21,,3
350206,9,,3
350207,24,,3
350208,5,,3
350209,43,,3
350301,16,,3
350303,2,,3
360101,41,,3
360102,11,,3
360103,13,,3
360201,56,,3
360202,6,,3
360203,7,,3
360204,8,,3
360205,22,,3
360206,6,,3
360301,29,,3
360302,38,,3
360303,42,,3
360304,14,,3
360305,14,,3
360306,15,,3
360307,18,,3
360308,17,,3
360309,7,,3
360311,25,,3
360401,3,,3
360501,5,,3
360502,20,,3
370101,85,,3
370102,153,,3
370103,7,,3
370201,103,,3
370301,86,,3
370302,8,,3
370303,14,,3
370304,42,,3
370401,31,,3
370402,30,,3
370403,8,,3
370501,107,,3
370502,45,,3
370503,51,,3
370504,46,,3
370601,34,,3
370602,6,,3
370603,33,,3
370604,18,,3
370605,2,,3
410101,43,,4
410102,23,,4
410103,5,,4
410104,29,,4
410105,23,,4
410106,16,,4
410107,14,,4
410108,2,,4
410109,1,,4
410110,16,,4
410201,31,,4
410301,40,,4
410401,90,,4
420101,22,,4
420201,28,,4
420301,16,,4
420401,10,,4
420501,4,,4
420601,18,,4
420701,7,,4
420801,54,,4
420802,16,,4
420803,8,,4
420804,6,,4
420805,12,,4
420806,6,,4
420807,8,,4
420901,23,,4
420902,9,,4
420903,8,,4
421001,9,,4
421002,4,,4
421101,19,,4
421102,18,,4
430101,221,,4
430102,11,,4
430103,12,,4
430201,21,,4
430301,8,,4
430302,4,,4
430303,1,,4
440101,16,,4
440201,11,,4
440301,24,,4
440401,5,,4
450101,78,,4
450102,27,,4
450103,18,,4
450201,57,,4
450301,37,,4
450302,11,,4
450303,31,,4
450304,16,,4
450401,16,,4
450501,13,,4
450502,11,,4
450601,3,,4
450602,9,,4
450603,10,,4
450701,1,,4
460101,5,,4
460102,12,,4
460201,24,,4
460301,26,,4
460401,7,,4
460501,5,,4
460601,4,,4
460801,3,,4
460802,22,,4
460803,5,,4
460804,5,,4
460901,7,,4
460902,5,,4
461002,6,,4
461003,13,,4
461004,7,,4
461101,3,,4
461102,15,,4
461103,6,,4
470101,3,,4
470201,17,,4
470202,9,,4
470203,10,,4
470204,12,,4
470301,40,,4
470302,55,,4
470303,79,,4
470401,19,,4
470402,12,,4
470403,6,,4
470404,1,,4
480101,41,,4
480201,6,,4
480301,9,,4
480401,17,,4
480501,10,,4
490101,56,,4
490201,7,,4
490301,34,,4
490302,13,,4
490303,4,,4
490304,4,,4
490305,4,,4
490306,3,,4
490307,7,,4
490308,2,,4
510101,195,,5
610101,26,,6
610102,9,,6
610201,14,,6
610202,8,,6
610301,10,,6
610302,13,,6
610303,48,,6
610304,3,,6
610305,2,,6
620101,25,,6
620201,34,,6
620301,3,,6
620302,26,,6
620303,7,,6
620304,3,,6
620305,8,,6
620306,26,,6
620307,25,,6
620401,15,,6
620402,12,,6
620403,5,,6
620404,31,,6
620501,28,,6
620601,50,,6
630101,30,,6
630201,23,,6
630202,27,,6
630203,17,,6
630301,3,,6
630302,18,,6
630303,42,,6
630304,9,,6
630305,32,,6
630306,32,,6
630401,12,,6
630402,26,,6
630403,13,,6
630404,43,,6
630501,8,,6
630502,25,,6
630503,9,,6
630504,23,,6
630505,14,,6
630601,6,,6
630602,26,,6
630701,33,,6
630702,47,,6
630703,21,,6
630704,1,,6
630705,11,,6
630801,38,,6
630802,29,,6
630803,31,,6
630804,18,,6
630805,41,,6
640101,28,,6
640102,62,,6
640103,27,,6
640104,10,,6
640105,21,,6
640106,88,,6
640107,66,,6
640108,97,,6
640201,16,,6
640202,9,,6
640203,70,,6
640204,21,,6
640205,17,,6
640206,15,,6
640207,11,,6
640208,17,,6
640209,171,,6
640301,54,,6
640401,33,,6
640501,39,,6
640601,27,,6
640602,17,,6
640701,23,,6
640702,32,,6
640703,13,,6
640704,26,,6
650101,22,,6
650201,60,,6
650301,26,,6
650401,14,,6
650501,68,,6
710101,72,,7
710102,27,,7
710103,71,,7
710201,106,,7
710202,125,,7
710301,145,,7
710401,109,,7
710402,38,,7
720101,30,,7
720102,34,,7
720103,12,,7
720104,16,,7
720201,43,,7
720301,26,,7
720302,40,,7
720303,5,,7
720401,42,,7
720501,39,,7
720502,5,,7
720601,21,,7
720602,4,,7
720701,2,,7
720703,1,,7
720704,8,,7
720705,1,,7
720706,3,,7
720901,12,,7
720902,19,,7
721001,15,,7
730101,6,,7
730102,5,,7
730103,24,,7
730104,20,,7
730201,47,,7
730202,54,,7
730203,39,,7
730204,38,,7
730205,13,,7
730206,32,,7
730207,15,,7
740101,22,,7
740102,12,,7
740201,9,,7
750101,5,,7
750201,8,,7
750202,7,,7
750301,10,,7
750302,8,,7
750303,16,,7
760101,11,,7
760102,59,,7
760103,40,,7
760104,19,,7
760201,33,,7
770101,9,,7
770102,6,,7
770201,8,,7
770202,8,,7
770301,3,,7
770302,1,,7
